Column 1,Project,Evaluator,Impact & Relevance,Novelty,Amplification,Open Source Practices,Usability & Design,Continuity Potential,Score,Comments,
,canOfSpam,Fred Trotter,3,3,3,2,3,3,2.85,Good stab at the problem!,
,canOfSpam,Ben Coleman,4.5,3,3,2,3,3,3.15,"This project was one that we put out to the groups, and I was pleased to see someone explore the topic. There was minimal documentation. The code contains developer-specific paths, making it hard to re-use. From the presentation, they used a hash of text rather than a full analysis of timestamps, which limits the approach to showing only exact duplicates, and an extension to consider similarity would be helpful. There is good potential for a dashboard to show unique comments and the number in each duplicate group.",
,canOfSpam,Santhosh kumar Veeramalla,4,2.5,2.5,3,2,3,2.88,"The core idea is good, but the approach needs significant changes to support large datasets. The comparison uses O(n^2) sequential processing, which is not suitable for large datasets and reduces performance. Hardcoded values, such as the similarity threshold, should be parameterized for flexibility and reusability. There is no mention of lowercase, uppercase, or stop word removal, which can reduce accuracy, and there is a lack of error handling. It can be further enhanced to support multi-language comment similarity checks.",
,canOfSpam,Gautami Nadkarni,3,3,3,3,3,3,3,"Documentation could be better, and more technical capabilities would have been nice.",
,canOfSpam,Michael Deeb,4,3,3,3,2,3,3.05,"Solid proof-of-concept for detecting coordinated bot comments using temporal bursts and duplicate detection; high civic value, moderate novelty.",
Total,canOfSpam,,4,3,3,3,3,3,3,MEDIAN,
,entity-resolution-team,Fred Trotter,3,2,3,2,2,2,2.35,Regex is a perfect hackathon strategy: 80% and quick!,
,entity-resolution-team,Ben Coleman,4,3,2,1,2,2,2.45,The code is in a Jupyter notebook with no supporting files. There is no documentation. They looked for emails using regex and grouped them by domain. It's an interesting way to identify organizations that submit multiple comments that are not duplicates.,
,entity-resolution-team,Santhosh kumar Veeramalla,2,2,2,1.5,2,1.5,1.85,"It lacks clear documentation, making it hard to understand and reuse. The code is not production-ready as it currently exists in a Jupyter notebook. Adding meaningful comments to explain the logic would greatly improve readability. The idea is valuable for analyzing organizational comments, but the current implementation makes it hard to adopt.",
,entity-resolution-team,Gautami Nadkarni,3.5,2.5,3,3,2.5,3,2.93,Poor documentation but a good idea.,
,entity-resolution-team,Melanie Kourbage,5,3,5,5,3,3,4,"Identifying the submitting organization may be challenging depending on the format of the comments that were submitted. In the example, ""Peg"" was identified as both CMS and QUA, Inc., even though ""Pam"" was responding to a CMS proposed rule. She would like to see more examples of how this could be leveraged successfully. She would use this to compare against a list of her member organizations (public health labs), partner organizations, and key industry partners to see which ones submitted a response. She sees a lot of potential here. The lower scores are only because she couldn't find the documentation for what comes next and is not clear on how the organization information is being identified from the comment.",
,entity-resolution-team,Michael Deeb,4,2,3,3,2,3,2.85,Provides a classical approach to grouping regulatory comments by inferred organization. Uses standard text-cleaning and matching techniques that work but are not groundbreaking. Code reproducible via notebook.,
Total,entity-resolution-team,,3.75,2.25,3,2.5,2,2.5,2.65,MEDIAN,
,hive-partitioned-parquet,Fred Trotter,5,5,4,5,3,4,4.4,Totally made me rethink how to use S3 as a database. Before... it was a metaphor.,
,hive-partitioned-parquet,Ben Coleman,5,4,5,4,3,3,4.05,"This project has significant potential for the mirrulations ecosystem. Since the event, he used ideas from this project to explore how to store a parquet representation of the data in the S3 bucket. The actual code in the project is limited, but the idea here is incredibly valuable.",
,hive-partitioned-parquet,Santhosh kumar Veeramalla,5,4,4,3,3,4,3.9,"The core idea is very solid, and the use of parquet and Hive partitioning is a smart and scalable approach. Choosing DuckDB is a good decision for lightweight use. The inclusion of a demo notebook provides clear value and practical demonstration. This approach is good for small and medium data but will not work for large-scale data. It lacks schema evolution and advanced features already available in the market, such as Delta Lake/Apache Iceberg, which handle Time Travel, schema evolution, and ACID transactions.",
,hive-partitioned-parquet,Evan Tung,4,4,5,3,2,3,3.55,"The speed of the queries executed on the Hive-partitioned parquet tables definitely stood out. During the live demo, it was amazing to see how the query could be executed against a remote S3 bucket without having to download the entire dataset. The README instructions are pretty well written, so any technical person could continue this without any problem. However, it would be pretty difficult for a non-technical person to use this.",
,hive-partitioned-parquet,Gautami Nadkarni,4,4,3,4,4,4.5,3.93,"Very well explained, one of the best documentations and scripting.",
,hive-partitioned-parquet,Michael Deeb,4,4,4,4,3,3,3.7,"Converts Mirrulations JSON to Hive-partitioned Parquet, sharply reducing query costs and enabling SQL access via DuckDB. Documentation and notebooks are clear and reproducible, and the technique can scale across agencies. Novelty is high because it applies a lesser known aspect of data-lake patterns to make the data more accessible. The Amplification affect is high, as this is a foundational tool for the mirrulations ecosystem.",
Total,hive-partitioned-parquet,,4.5,4,4,4,3,3.5,3.915,MEDIAN,
,llmgov,Fred Trotter,5,4,4,5,4,4,4.35,LLM that scales. Sign me up.,
,llmgov,Ben Coleman,5,5,5,4,4,4,4.55,"The RAG transformation process is another incredibly valuable contribution to the mirrulations ecosystem. The code to transform data into vector embeddings could readily be incorporated into the mirrulations ETL process. The example LLM queries are instructive, and he is curious how well this will scale to all the data.",
,llmgov,Santhosh kumar Veeramalla,5,4,4,4.5,4,4,4.28,"Leveraging RAG with LLMs and Vector embeddings is a powerful and scalable approach. It has clear documentation and clean code, making it easy to reuse. The smart use of cloud embeddings in S3 storage is cost-effective. Further enhancements will be needed, such as access control if sensitive or legally regulated content is involved.",
,llmgov,Evan Tung,5,2,4,3,5,3,3.65,"He really likes how usable this project was for non-technical users, and the fact that example questions were added helps that factor even more. He can definitely foresee the general public using this to ask questions about recent regulations. However, a RAG-based chatbot is one of the more standard applications of generative AI, and he would have liked to see some more creative applications of it. As it currently stands, the user also has to know how to run a set of bespoke CLI scripts in the correct order to run the CMS chatbot, so he would like to see that maintainability aspect improved.",
,llmgov,Gautami Nadkarni,3,3,3,3,3,3.5,3.08,"Average idea, documentation could be better.",
,llmgov,Taylor Wilson,5,4,5,5,4,5,4.65,"She works a lot with this kind of architecture in the context of known documentation sets. She thinks this is a natural place to go for public comment analysis because semantic search capability will supercharge the ability of users to interface with the content. She is curious if the more challenging parts of these data are vectorizable in a consistent and useful way, such as public comments that contain data tables or relevant numeric information. She asks what sort of preprocessing might be employed to identify the public comments that are most interoperable with this technology stack, and what to do with public comments that will pollute the vector database and draw down the quality of the semantic search at large.",
